date,days_ago,wpm,acc,rawWpm,consistency
2023-05-22,872,66.26,85.96,75.92,70.08
2023-05-23,871,66.21,95.45,72.83,69.85
2023-05-24,870,54.09,94.87,60.28,60.24
2023-05-25,869,74.73,90.48,84.83,82.51
2023-05-26,868,81.48,94.55,95.35,79.28
2023-05-27,867,73.24,90.91,81.04,86.36
2023-05-28,866,72.28,96.0,72.28,56.73
2023-05-29,865,83.96,94.74,97.67,83.63
2023-05-30,864,53.06,80.0,77.32,66.68
2023-05-31,863,89.97,98.04,89.97,62.64
2023-06-01,862,91.83,100.0,91.83,70.76
2023-06-02,861,97.61,96.3,107.57,62.24
2023-06-03,860,72.76,92.73,102.62,77.0
2023-06-04,859,101.97,100.0,101.97,85.15
2023-06-05,858,100.03,100.0,100.03,69.24
2023-06-06,857,82.59,93.75,92.19,63.1
2023-06-07,856,80.27,96.0,80.27,67.26
2023-06-08,855,86.92,87.76,109.21,78.31
2023-06-09,854,90.72,91.84,101.02,83.82
2023-06-10,853,98.97,100.0,98.97,82.82
2023-06-11,852,114.48,100.0,114.48,84.43
2023-06-12,851,111.48,95.92,124.15,90.33
2023-06-13,850,97.48,100.0,97.48,81.54
2023-06-14,849,95.19,100.0,95.19,69.13
2023-06-15,848,59.75,100.0,59.75,64.99
2023-06-16,847,81.09,100.0,81.09,74.14
2023-06-17,846,78.29,100.0,78.29,73.4
2023-06-18,845,50.85,96.3,50.85,42.69
2023-06-19,844,94.7,98.04,94.7,70.92
2023-06-20,843,54.94,91.94,54.94,49.98
2023-06-21,842,60.37,96.72,60.37,35.17
2023-06-22,841,65.3,98.36,65.3,64.58
2023-06-23,840,72.75,100.0,72.75,58.48
2023-06-24,839,68.55,94.34,68.55,73.91
2023-06-25,838,66.59,98.15,66.59,57.08
2023-06-26,837,83.03,96.43,83.03,74.23
2023-06-27,836,101.26,100.0,101.26,75.29
2023-06-28,835,80.48,94.23,80.48,60.05
2023-06-29,834,83.95,94.83,83.95,73.8
2023-06-30,833,87.01,100.0,87.01,66.61
2023-07-01,832,66.22,96.83,66.22,46.23
2023-07-02,831,51.84,91.84,64.11,50.5
2023-07-03,830,75.38,100.0,75.38,54.49
2023-07-04,829,72.18,97.83,72.18,70.2
2023-07-05,828,66.54,96.08,66.54,58.24
2023-07-06,827,63.4,92.59,63.4,55.3
2023-07-07,826,66.26,97.96,66.26,61.72
2023-07-08,825,68.97,95.83,68.97,66.57
2023-07-09,824,71.03,95.31,71.03,50.49
2023-07-10,823,73.61,94.34,86.7,64.66
2023-07-11,822,57.62,91.07,57.62,51.33
2023-07-12,821,73.68,100.0,73.68,59.21
2023-07-13,820,64.98,95.08,64.98,56.18
2023-07-14,819,69.48,96.88,69.48,62.03
2023-07-15,818,61.11,93.22,61.11,51.66
2023-07-16,817,75.39,100.0,75.39,72.53
2023-07-17,816,65.6,92.54,65.6,66.93
2023-07-18,815,71.67,98.0,71.67,62.92
2023-07-19,814,74.12,100.0,74.12,52.0
2023-07-20,813,67.31,98.15,67.31,66.67
2023-07-21,812,82.74,100.0,82.74,60.82
2023-07-22,811,79.59,98.21,79.59,58.69
2023-07-23,810,47.12,87.69,62.5,46.39
2023-07-24,809,81.12,96.3,81.12,67.04
2023-07-25,808,74.27,94.12,74.27,61.92
2023-07-26,807,69.31,93.75,81.15,58.36
2023-07-27,806,80.47,100.0,80.47,75.88
2023-07-28,805,92.79,93.28,105.59,85.57
2023-07-29,804,72.0,89.38,88.8,67.9
2023-07-30,803,88.25,94.83,88.25,70.14
2023-07-31,802,62.85,90.91,69.58,71.62
2023-08-01,801,75.92,98.15,75.92,63.16
2023-08-02,800,70.49,96.23,70.49,65.05
2023-08-03,799,57.54,89.39,57.54,59.1
2023-08-04,798,73.2,98.25,73.2,54.27
2023-08-05,797,77.1,100.0,77.1,63.64
2023-08-06,796,64.18,98.15,64.18,64.48
2023-08-07,795,77.42,98.08,77.42,71.92
2023-08-08,794,71.11,94.12,71.11,56.02
2023-08-09,793,66.3,96.3,66.3,64.68
2023-08-10,792,77.0,98.15,77.0,57.0
2023-08-11,791,72.62,100.0,72.62,56.4
